City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sitka,57.0531,-135.33,42.89,90,100,4.16,US,1698721267
1,ginir,7.1333,40.7,55.65,85,17,3.02,ET,1698721375
2,grytviken,-54.2811,-36.5092,36.93,82,88,6.67,GS,1698721376
3,edinburgh of the seven seas,-37.0676,-12.3116,56.89,95,100,27.65,SH,1698721376
4,port alfred,-33.5906,26.891,57.74,80,21,15.21,ZA,1698721376
5,yellowknife,62.456,-114.3525,27.41,99,75,4.61,CA,1698721288
6,badger,64.8,-147.5333,28.38,97,24,2.44,US,1698721376
7,adamstown,-25.066,-130.1015,73.4,76,100,6.85,PN,1698721376
8,ephraim,39.3597,-111.5863,36.27,44,0,1.61,US,1698721377
9,tiffin,41.1145,-83.178,36.36,81,14,6.6,US,1698721348
10,sisimiut,66.9395,-53.6735,29.41,61,84,10.13,GL,1698721377
11,zango,13.0515,8.4877,77.52,19,62,10.09,NG,1698721377
12,sabha,27.0377,14.4283,68.95,33,0,10.11,LY,1698721378
13,arkhangel'sk,64.5401,40.5433,17.13,97,61,4.45,RU,1698721378
14,ribeira grande,38.5167,-28.7,67.77,84,41,20.0,PT,1698721378
15,santana,-0.0583,-51.1817,82.58,74,0,6.91,BR,1698721378
16,grand-bassam,5.2118,-3.7388,75.16,90,7,5.44,CI,1698721378
17,hithadhoo,-0.6,73.0833,80.58,80,100,10.92,MV,1698721379
18,mangrol,21.1167,70.1167,80.53,50,58,8.97,IN,1698721379
19,puerto ayora,-0.7393,-90.3518,74.55,91,100,3.0,EC,1698721379
20,corn island,12.1694,-83.0418,82.33,75,94,6.8,NI,1698721380
21,gaalkacyo,6.7697,47.4308,75.25,82,60,7.25,SO,1698721380
22,kirensk,57.7853,108.1119,18.97,62,100,3.0,RU,1698721381
23,klyuchi,52.2667,79.1667,42.37,96,100,5.61,RU,1698721381
24,tangalle,6.024,80.7911,78.96,76,83,1.25,LK,1698721381
25,tura,25.5198,90.2201,77.67,68,64,1.14,IN,1698721381
26,tomobe,36.35,140.3,71.8,68,100,2.48,JP,1698721381
27,ilulissat,69.2167,-51.1,35.62,51,7,16.11,GL,1698721382
28,twon-brass,4.3151,6.2418,81.28,77,100,2.95,NG,1698721382
29,dobrich,43.5667,27.8333,53.69,79,0,7.02,BG,1698721382
30,port-aux-francais,-49.35,70.2167,38.84,89,100,38.07,TF,1698721382
31,waitangi,-43.9535,-176.5597,57.81,83,100,13.0,NZ,1698721382
32,hermanus,-34.4187,19.2345,56.07,81,26,15.82,ZA,1698721383
33,codrington,-38.2667,141.9667,57.11,50,81,15.75,AU,1698721383
34,hirara,24.8,125.2833,82.26,65,20,14.97,JP,1698721384
35,seven pagodas,12.6264,80.1722,80.65,76,85,12.46,IN,1698721384
36,thompson,55.7435,-97.8558,19.56,79,100,5.75,CA,1698721277
37,shingu,33.7333,135.9833,69.13,52,9,3.74,JP,1698721384
38,iskateley,67.6803,53.1512,13.01,97,89,5.99,RU,1698721384
39,rio grande,-32.035,-52.0986,65.95,95,98,6.2,BR,1698721344
40,bredasdorp,-34.5322,20.0403,55.69,80,0,11.72,ZA,1698721385
41,hacienda huancane,-15.8222,-70.8856,38.14,48,26,6.55,PE,1698721385
42,effingham,32.3669,-81.3332,67.95,84,78,5.01,US,1698721385
43,avarua,-21.2078,-159.775,75.25,73,75,13.8,CK,1698721189
44,kodiak,57.79,-152.4072,45.91,93,100,8.05,US,1698721207
45,albany,42.6001,-73.9662,42.64,82,100,8.37,US,1698721202
46,saipan,15.1355,145.701,83.64,80,68,16.04,MP,1698721386
